TransectID,PLOT,TAG,SPECIES,TRANSECT,METER,CanopyCover,slope,aspect,DBH,Lat,Long,y.utm,x.utm,LATE.2011,MYCELIA.LATE.11,MLG.LATE.11,PEAK.2011,MYCELIA.PEAK.11,MLG.PEAK.11,EARLY.2011,MYCELIA.EARLY.11,MLG.EARLY.11,LATE.2010,MYCELIA.LATE.10,MLG.LATE.10,PEAK.2010,MYCELIA.PEAK.10,MLG.PEAK.10,EARLY.2010,MYCELIA.EARLY.10,MLG.EARLY.10,LATE.2009,MYCELIA.LATE.09,MLG.LATE.09,PEAK.2009,MYCELIA.PEAK.09,MLG.PEAK.09,EARLY.2009,MYCELIA.EARLY.09,MLG.EARLY.2009,northness,eastness,BA.123raw,Dens.123raw,BA.123ha,Dens.123ha,have6t,Dens.456raw,BA.456raw,BA.allTR.ha,Dens.allTR.ha,BA.Tr,Dens.Tr,plot,transect,time,pcr.result,Season,Year,timepoint,incidence,hot.transect,hs.plot
0-1,0,674,UMCA,1,80,92.7025,24,18,37.5,37.53394975,-122.3773798,4154289.382,555009.966,Y,X,NA,Y,X,NA,Y,X,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,X,68,0.660316708,-0.750987247,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,1.494474475,23,0,1,PCR.RESULT.PEAK.10,pram,peak,2010,5,4,0,0
0-1,0,674,UMCA,1,80,92.7025,24,18,37.5,37.53394975,-122.3773798,4154289.382,555009.966,Y,X,NA,Y,X,NA,Y,X,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,X,68,0.660316708,-0.750987247,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,1.494474475,23,0,1,PCR.RESULT.EARLY.10,pram,early,2010,4,4,0,0
0-1,0,674,UMCA,1,80,92.7025,24,18,37.5,37.53394975,-122.3773798,4154289.382,555009.966,Y,X,NA,Y,X,NA,Y,X,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,X,68,0.660316708,-0.750987247,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,1.494474475,23,0,1,PCR.RESULT.LATE.09,pram,late,2009,3,4,0,0
0-1,0,674,UMCA,1,80,92.7025,24,18,37.5,37.53394975,-122.3773798,4154289.382,555009.966,Y,X,NA,Y,X,NA,Y,X,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,X,68,0.660316708,-0.750987247,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,1.494474475,23,0,1,PCR.RESULT.PEAK.09,pram,peak,2009,2,4,0,0
0-1,0,674,UMCA,1,80,92.7025,24,18,37.5,37.53394975,-122.3773798,4154289.382,555009.966,Y,X,NA,Y,X,NA,Y,X,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,X,68,0.660316708,-0.750987247,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,1.494474475,23,0,1,PCR.RESULT.EARLY.09,culture,early,2009,1,4,0,0
0-1,0,674,UMCA,1,80,92.7025,24,18,37.5,37.53394975,-122.3773798,4154289.382,555009.966,Y,X,NA,Y,X,NA,Y,X,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,X,68,0.660316708,-0.750987247,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,1.494474475,23,0,1,PCR.RESULT.PEAK.2012,culture,peak,2012,10,4,0,0
0-1,0,685,UMCA,1,70,94.7875,30,55,33.3,37.53405302,-122.3772355,4154300.923,555022.6348,Y,X,NA,Y,X,NA,Y,X,NA,Y,NA,NA,N,NA,NA,N,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,0.022126756,-0.999755173,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,1.494474475,23,0,1,PCR.RESULT.LATE.11,culture,late,2011,9,3,0,0
0-1,0,685,UMCA,1,70,94.7875,30,55,33.3,37.53405302,-122.3772355,4154300.923,555022.6348,Y,X,NA,Y,X,NA,Y,X,NA,Y,NA,NA,N,NA,NA,N,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,0.022126756,-0.999755173,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,1.494474475,23,0,1,PCR.RESULT.PEAK.11,culture,peak,2011,8,3,0,0
0-1,0,685,UMCA,1,70,94.7875,30,55,33.3,37.53405302,-122.3772355,4154300.923,555022.6348,Y,X,NA,Y,X,NA,Y,X,NA,Y,NA,NA,N,NA,NA,N,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,0.022126756,-0.999755173,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,1.494474475,23,0,1,PCR.RESULT.EARLY.11,neg,early,2011,7,3,0,0
0-1,0,685,UMCA,1,70,94.7875,30,55,33.3,37.53405302,-122.3772355,4154300.923,555022.6348,Y,X,NA,Y,X,NA,Y,X,NA,Y,NA,NA,N,NA,NA,N,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,0.022126756,-0.999755173,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,1.494474475,23,0,1,PCR.RESULT.LATE.10,neg,late,2010,6,3,0,0
0-1,0,685,UMCA,1,70,94.7875,30,55,33.3,37.53405302,-122.3772355,4154300.923,555022.6348,Y,X,NA,Y,X,NA,Y,X,NA,Y,NA,NA,N,NA,NA,N,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,0.022126756,-0.999755173,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,1.494474475,23,0,1,PCR.RESULT.PEAK.10,na,peak,2010,5,3,0,0
0-1,0,685,UMCA,1,70,94.7875,30,55,33.3,37.53405302,-122.3772355,4154300.923,555022.6348,Y,X,NA,Y,X,NA,Y,X,NA,Y,NA,NA,N,NA,NA,N,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,0.022126756,-0.999755173,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,1.494474475,23,0,1,PCR.RESULT.EARLY.10,na,early,2010,4,3,0,0
0-1,0,685,UMCA,1,70,94.7875,30,55,33.3,37.53405302,-122.3772355,4154300.923,555022.6348,Y,X,NA,Y,X,NA,Y,X,NA,Y,NA,NA,N,NA,NA,N,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,0.022126756,-0.999755173,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,1.494474475,23,0,1,PCR.RESULT.LATE.09,pram,late,2009,3,3,0,0
0-1,0,685,UMCA,1,70,94.7875,30,55,33.3,37.53405302,-122.3772355,4154300.923,555022.6348,Y,X,NA,Y,X,NA,Y,X,NA,Y,NA,NA,N,NA,NA,N,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,0.022126756,-0.999755173,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,1.494474475,23,0,1,PCR.RESULT.PEAK.09,neg,peak,2009,2,3,0,0
0-1,0,685,UMCA,1,70,94.7875,30,55,33.3,37.53405302,-122.3772355,4154300.923,555022.6348,Y,X,NA,Y,X,NA,Y,X,NA,Y,NA,NA,N,NA,NA,N,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,0.022126756,-0.999755173,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,1.494474475,23,0,1,PCR.RESULT.EARLY.09,pram,early,2009,1,3,0,0
0-1,0,685,UMCA,1,70,94.7875,30,55,33.3,37.53405302,-122.3772355,4154300.923,555022.6348,Y,X,NA,Y,X,NA,Y,X,NA,Y,NA,NA,N,NA,NA,N,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,0.022126756,-0.999755173,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,1.494474475,23,0,1,PCR.RESULT.PEAK.2012,culture,peak,2012,10,3,0,0
0-1,0,691,UMCA,1,60,100,35,26,41,37.53405939,-122.3770375,4154301.746,555040.1299,Y,NA,NA,Y,X,NA,Y,X,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,0.646919322,0.76255845,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,1.494474475,23,0,1,PCR.RESULT.LATE.11,pram,late,2011,9,2,0,0
0-1,0,691,UMCA,1,60,100,35,26,41,37.53405939,-122.3770375,4154301.746,555040.1299,Y,NA,NA,Y,X,NA,Y,X,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,0.646919322,0.76255845,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,1.494474475,23,0,1,PCR.RESULT.PEAK.11,culture,peak,2011,8,2,0,0
0-1,0,691,UMCA,1,60,100,35,26,41,37.53405939,-122.3770375,4154301.746,555040.1299,Y,NA,NA,Y,X,NA,Y,X,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,0.646919322,0.76255845,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,1.494474475,23,0,1,PCR.RESULT.EARLY.11,culture,early,2011,7,2,0,0
0-1,0,691,UMCA,1,60,100,35,26,41,37.53405939,-122.3770375,4154301.746,555040.1299,Y,NA,NA,Y,X,NA,Y,X,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,0.646919322,0.76255845,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,1.494474475,23,0,1,PCR.RESULT.LATE.10,neg,late,2010,6,2,0,0
0-1,0,691,UMCA,1,60,100,35,26,41,37.53405939,-122.3770375,4154301.746,555040.1299,Y,NA,NA,Y,X,NA,Y,X,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,0.646919322,0.76255845,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,1.494474475,23,0,1,PCR.RESULT.PEAK.10,neg,peak,2010,5,2,0,0
0-1,0,691,UMCA,1,60,100,35,26,41,37.53405939,-122.3770375,4154301.746,555040.1299,Y,NA,NA,Y,X,NA,Y,X,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,0.646919322,0.76255845,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,1.494474475,23,0,1,PCR.RESULT.EARLY.10,pram,early,2010,4,2,0,0
0-1,0,691,UMCA,1,60,100,35,26,41,37.53405939,-122.3770375,4154301.746,555040.1299,Y,NA,NA,Y,X,NA,Y,X,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,0.646919322,0.76255845,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,1.494474475,23,0,1,PCR.RESULT.LATE.09,pram,late,2009,3,2,0,0
0-1,0,691,UMCA,1,60,100,35,26,41,37.53405939,-122.3770375,4154301.746,555040.1299,Y,NA,NA,Y,X,NA,Y,X,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,0.646919322,0.76255845,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,1.494474475,23,0,1,PCR.RESULT.PEAK.09,pram,peak,2009,2,2,0,0
0-1,0,691,UMCA,1,60,100,35,26,41,37.53405939,-122.3770375,4154301.746,555040.1299,Y,NA,NA,Y,X,NA,Y,X,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,0.646919322,0.76255845,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,1.494474475,23,0,1,PCR.RESULT.EARLY.09,neg,early,2009,1,2,0,0
0-1,0,691,UMCA,1,60,100,35,26,41,37.53405939,-122.3770375,4154301.746,555040.1299,Y,NA,NA,Y,X,NA,Y,X,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,0.646919322,0.76255845,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,1.494474475,23,0,1,PCR.RESULT.PEAK.2012,neg,peak,2012,10,2,0,0
0-3,0,741,UMCA,3,40,89.575,22,64,19.7,37.53458544,-122.3765227,4154360.41,555085.22,Y,NA,NA,Y,X,NA,Y,X,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,0.39185723,0.920026038,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,0.176537087,3,0,3,PCR.RESULT.LATE.11,pram,late,2011,9,1,0,0
0-3,0,741,UMCA,3,40,89.575,22,64,19.7,37.53458544,-122.3765227,4154360.41,555085.22,Y,NA,NA,Y,X,NA,Y,X,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,0.39185723,0.920026038,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,0.176537087,3,0,3,PCR.RESULT.PEAK.11,culture,peak,2011,8,1,0,0
0-3,0,741,UMCA,3,40,89.575,22,64,19.7,37.53458544,-122.3765227,4154360.41,555085.22,Y,NA,NA,Y,X,NA,Y,X,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,0.39185723,0.920026038,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,0.176537087,3,0,3,PCR.RESULT.EARLY.11,pram,early,2011,7,1,0,0
0-3,0,741,UMCA,3,40,89.575,22,64,19.7,37.53458544,-122.3765227,4154360.41,555085.22,Y,NA,NA,Y,X,NA,Y,X,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,0.39185723,0.920026038,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,0.176537087,3,0,3,PCR.RESULT.LATE.10,neg,late,2010,6,1,0,0
0-3,0,741,UMCA,3,40,89.575,22,64,19.7,37.53458544,-122.3765227,4154360.41,555085.22,Y,NA,NA,Y,X,NA,Y,X,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,0.39185723,0.920026038,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,0.176537087,3,0,3,PCR.RESULT.PEAK.10,pram,peak,2010,5,1,0,0
0-3,0,741,UMCA,3,40,89.575,22,64,19.7,37.53458544,-122.3765227,4154360.41,555085.22,Y,NA,NA,Y,X,NA,Y,X,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,0.39185723,0.920026038,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,0.176537087,3,0,3,PCR.RESULT.EARLY.10,pram,early,2010,4,1,0,0
0-3,0,741,UMCA,3,40,89.575,22,64,19.7,37.53458544,-122.3765227,4154360.41,555085.22,Y,NA,NA,Y,X,NA,Y,X,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,0.39185723,0.920026038,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,0.176537087,3,0,3,PCR.RESULT.LATE.09,pram,late,2009,3,1,0,0
0-3,0,741,UMCA,3,40,89.575,22,64,19.7,37.53458544,-122.3765227,4154360.41,555085.22,Y,NA,NA,Y,X,NA,Y,X,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,0.39185723,0.920026038,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,0.176537087,3,0,3,PCR.RESULT.PEAK.09,pram,peak,2009,2,1,0,0
0-3,0,741,UMCA,3,40,89.575,22,64,19.7,37.53458544,-122.3765227,4154360.41,555085.22,Y,NA,NA,Y,X,NA,Y,X,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,0.39185723,0.920026038,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,0.176537087,3,0,3,PCR.RESULT.EARLY.09,neg,early,2009,1,1,0,0
0-3,0,741,UMCA,3,40,89.575,22,64,19.7,37.53458544,-122.3765227,4154360.41,555085.22,Y,NA,NA,Y,X,NA,Y,X,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,0.39185723,0.920026038,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,0.176537087,3,0,3,PCR.RESULT.PEAK.2012,neg,peak,2012,10,1,0,0
0-1,0,754,UMCA,1,0,96.8725,32,354,26.8,37.53430598,-122.3765065,4154329.415,555086.8621,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,-0.540327671,0.841454697,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,1.494474475,23,0,1,PCR.RESULT.LATE.11,neg,late,2011,9,0,0,0
0-1,0,754,UMCA,1,0,96.8725,32,354,26.8,37.53430598,-122.3765065,4154329.415,555086.8621,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,-0.540327671,0.841454697,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,1.494474475,23,0,1,PCR.RESULT.PEAK.11,neg,peak,2011,8,0,0,0
0-1,0,754,UMCA,1,0,96.8725,32,354,26.8,37.53430598,-122.3765065,4154329.415,555086.8621,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,-0.540327671,0.841454697,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,1.494474475,23,0,1,PCR.RESULT.EARLY.11,neg,early,2011,7,0,0,0
0-1,0,754,UMCA,1,0,96.8725,32,354,26.8,37.53430598,-122.3765065,4154329.415,555086.8621,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,-0.540327671,0.841454697,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,1.494474475,23,0,1,PCR.RESULT.LATE.10,neg,late,2010,6,0,0,0
0-1,0,754,UMCA,1,0,96.8725,32,354,26.8,37.53430598,-122.3765065,4154329.415,555086.8621,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,-0.540327671,0.841454697,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,1.494474475,23,0,1,PCR.RESULT.PEAK.10,neg,peak,2010,5,0,0,0
0-1,0,754,UMCA,1,0,96.8725,32,354,26.8,37.53430598,-122.3765065,4154329.415,555086.8621,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,-0.540327671,0.841454697,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,1.494474475,23,0,1,PCR.RESULT.EARLY.10,pram,early,2010,4,0,0,0
0-1,0,754,UMCA,1,0,96.8725,32,354,26.8,37.53430598,-122.3765065,4154329.415,555086.8621,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,Y,NA,NA,-0.540327671,0.841454697,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667,1.494474475,23,0,1,PCR.RESULT.LATE.09,neg,late,2009,3,0,0,0
